Half,Clock,Play,Score,game_id,home_id,away_id,time,game_date
1,03:58:00,"2pt floating jump shot (2nd chance) (in the paint) missed by Terrence Shannon Jr.(ILL), rebound defensive Zed Key(OSU)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:03:00,"3pt jump shot (outside right) missed by Marcus Domask(ILL), rebound offensive Terrence Shannon Jr.(ILL)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:21:00,"2pt alley oop (under the basket) made by Felix Okpara(OSU), assist Bruce Thornton(OSU)",27 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,"Free throw 2 of 2 missed by Quincy Guerrier(ILL), rebound defensive Felix Okpara(OSU)",25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,Substitution OSU: in Felix Okpara,25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,Substitution OSU: out Evan Mahaffey,25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,Substitution ILL: in Ty Rodgers,25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,Substitution ILL: out Justin Harmon,25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,"Free throw 1 of 2 missed by Quincy Guerrier(ILL), rebound offensive dead ball ILL",25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
1,04:41:00,Foul personal (loose ball;2 free throws) (back court) Evan Mahaffey(OSU),25 - 25,5252651,560955,561008,2024-03-15,2024-03-14
