Half,Clock,Play,Score,game_id,home_id,away_id,game_date,time,Period
1,02:00:00,"2pt jump shot (blocked) (inside left) missed by Dru Nickson(ERAU), block Ryan Davis(NSU), rebound defensive Ryker Cisarik(NSU)",23 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:06:00,Turnover (in the paint) Jerry Bracey II(ERAU),23 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:19:00,"2pt layup (in the paint) missed by Ryan Davis(NSU), rebound defensive Dru Nickson(ERAU)",23 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:31:00,"Foul personal (inside right) Michael McCalister(ERAU), foul on MJ Iraldi(NSU)",23 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Free throw 2 of 2 made by Cameron Shockley-Okeke(ERAU),23 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Free throw 1 of 2 made by Cameron Shockley-Okeke(ERAU),22 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: in Jerry Bracey II,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: in Michael McCalister,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: in Nikola Jerotic,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: out Danny Sully,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: out Malcolm Whitlow,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Substitution ERAU: out Jon Alessandro,21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:44:00,Foul personal (one and one) (back court) MJ Iraldi(NSU),21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,02:58:00,"2pt layup (fast break) (under the basket) made by MJ Iraldi(NSU), assist Isaiah Fuller(NSU)",21 - 29,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:04:00,"3pt jump shot (2nd chance;off turnover) (outside center) missed by Dru Nickson(ERAU), rebound defensive Ryker Cisarik(NSU)",21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:23:00,"3pt jump shot (off turnover) (outside left) missed by Jon Alessandro(ERAU), rebound offensive Jon Alessandro(ERAU)",21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:44:00,"Turnover bad pass (inside center) Shane Hunter(NSU), steal Danny Sully(ERAU)",21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution ERAU: in Malcolm Whitlow,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution ERAU: out Jerry Bracey II,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: in Shane Hunter,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: in MJ Iraldi,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: in Ryker Cisarik,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: in Ryan Davis,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: in Isaiah Fuller,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: out Ryan Walsh,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: out GianFranco Grafals,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: out Alex Mangold,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: out Trey Doomes,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Substitution NSU: out Mike Moore,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,Timeout commercial,21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,03:58:00,"Turnover lost ball (in the paint) Cameron Shockley-Okeke(ERAU), steal Mike Moore(NSU)",21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:20:00,Free throw 2 of 2 made by GianFranco Grafals(NSU),21 - 27,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:20:00,Substitution ERAU: in Jon Alessandro,21 - 26,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:20:00,Substitution ERAU: out Michael McCalister,21 - 26,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:20:00,Free throw 1 of 2 made by GianFranco Grafals(NSU),21 - 26,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:20:00,Foul personal (shooting;2 free throws) (in the paint) Michael McCalister(ERAU),21 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:33:00,"3pt jump shot (outside left) missed by Cameron Shockley-Okeke(ERAU), rebound defensive Alex Mangold(NSU)",21 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,04:56:00,"3pt jump shot (outside right) missed by Alex Mangold(NSU), rebound defensive Jerry Bracey II(ERAU)",21 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,05:18:00,"2pt dunk (under the basket) made by Jerry Bracey II(ERAU), assist Dru Nickson(ERAU)",21 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,05:23:00,Timeout short ERAU,19 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,05:31:00,2pt step back jump shot (in the paint) made by Alex Mangold(NSU),19 - 25,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,05:46:00,2pt step back jump shot (inside right) made by Cameron Shockley-Okeke(ERAU),19 - 23,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: in Alex Mangold,17 - 23,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: out Ryker Cisarik,17 - 23,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Free throw 2 of 2 (fast break) made by Ryker Cisarik(NSU),17 - 23,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution ERAU: in Dru Nickson,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution ERAU: out Malcolm Whitlow,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: in Ryan Walsh,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: in GianFranco Grafals,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: in Trey Doomes,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: in Mike Moore,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: out Shane Hunter,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: out MJ Iraldi,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
