game_date,home_team,away_team,game_id,home_score,away_score,attendance,neutral
2025-02-08,North Carolina,Pittsburgh,5732616,67,66,21750,0
2025-02-08,Monmouth,Towson,5731963,67,73,2756,0
2025-02-08,Howard,N.C. Central,5735099,82,78,2131,0
2025-02-08,Northeastern,Hampton,5728369,75,84,1150,0
2025-02-08,Liberty,Sam Houston,5728623,64,61,3355,0
2025-02-08,Hofstra,Stony Brook,5723097,75,80,3819,0
2025-02-08,Alcorn,Ark.-Pine Bluff,5740659,79,60,250,0
2025-02-08,Jackson St.,Mississippi Val.,5735367,92,44,1353,0
2025-02-08,Nicholls,East Texas A&M,5734626,81,65,567,0
2025-02-08,Tennessee Tech,Eastern Ill.,5733908,59,54,1269,0
2025-02-08,Valparaiso,Murray St.,5731442,56,74,1401,0
2025-02-08,Auburn,Florida,5731360,81,90,9121,0
2025-02-08,Utah Valley,Tarleton St.,5732734,81,56,1676,0
2025-02-08,UT Martin,Western Ill.,5730160,81,70,1576,0
2025-02-08,Houston Christian,New Orleans,5735246,81,68,779,0
2025-02-08,Chattanooga,Furman,5731034,85,72,3751,0
2025-02-08,Tennessee St.,Lindenwood,5730358,84,76,895,0
2025-02-08,Alabama St.,Grambling,5740583,67,77,500,0
2025-02-08,Kennesaw St.,Middle Tenn.,5729760,75,76,1858,0
2025-02-08,West Virginia,Utah,5734826,72,61,13166,0
2025-02-08,McNeese,Northwestern St.,5732925,65,50,3670,0
2025-02-08,Austin Peay,Central Ark.,5738657,90,67,3167,0
2025-02-08,Idaho,Sacramento St.,5724020,78,76,1972,0
2025-02-08,Jacksonville St.,Western Ky.,5728717,85,83,2169,0
2025-02-08,Belmont,Missouri St.,5731941,85,68,2210,0
2025-02-08,Alabama A&M,Southern U.,5734665,68,81,2751,0
2025-02-08,California,Wake Forest,5732785,66,76,4562,0
2025-02-08,North Florida,FGCU,5722567,70,84,2662,0
2025-02-08,Eastern Wash.,Portland St.,5730199,72,67,1351,0
2025-02-08,Central Mich.,Texas St.,5732859,85,70,1244,0
2025-02-08,Virginia,Georgia Tech,5732670,75,61,14637,0
2025-02-08,Prairie View,Bethune-Cookman,5729460,82,85,466,0
2025-02-08,Minnesota,Illinois,5733036,74,95,10091,0
2025-02-08,Duquesne,Loyola Chicago,5733042,69,56,2577,0
2025-02-08,Cincinnati,BYU,5734998,84,66,12217,0
2025-02-08,UNI,Illinois St.,5734097,68,65,4809,0
2025-02-08,Drake,Indiana St.,5732958,85,81,4394,0
2025-02-08,Georgia,Mississippi St.,5729963,75,76,10169,0
2025-02-08,Washington St.,Pepperdine,5737040,87,86,3957,0
2025-02-08,Col. of Charleston,Elon,5725832,88,83,5007,0
2025-02-08,Texas Southern,Florida A&M,5740686,64,66,5263,0
2025-02-08,Kansas City,North Dakota,5723600,80,69,1058,0
2025-02-08,SFA,A&M-Corpus Christi,5734221,78,64,1371,0
2025-02-08,UIW,Southeastern La.,5732855,66,71,205,0
2025-02-08,Clemson,Duke,5732622,77,71,9000,0
2025-02-08,Long Beach St.,CSUN,5725929,80,81,1557,0
2025-02-08,Santa Clara,San Diego,5730003,93,70,2227,0
2025-02-08,High Point,UNC Asheville,5738162,104,100,6214,0
2025-02-08,Fairfield,Sacred Heart,5736315,71,77,3470,0
2025-02-08,Jacksonville,Bellarmine,5735167,73,64,700,0
2025-02-08,Purdue Fort Wayne,Green Bay,5723572,89,74,2422,0
2025-02-08,UAlbany,Vermont,5729279,62,68,2315,0
2025-02-08,Marist,Iona,5728259,71,75,3037,0
2025-02-08,Wright St.,IU Indy,5723736,91,73,4640,0
2025-02-08,Lamar University,UTRGV,5734548,70,68,1753,0
2025-02-08,Stanford,NC State,5732564,74,73,4841,0
2025-02-08,Northern Colo.,Montana St.,5732820,73,66,1672,0
2025-02-08,UTSA,East Carolina,5738262,79,80,1113,0
2025-02-08,Oral Roberts,South Dakota,5722842,74,75,3009,0
2025-02-08,Seattle U,UT Arlington,5735159,67,65,999,0
2025-02-08,California Baptist,Grand Canyon,5723510,85,71,4174,0
2025-02-08,Northern Ariz.,Montana,5736904,80,83,1212,0
2025-02-08,Evansville,Bradley,5735585,74,80,5810,0
2025-02-08,Pacific,Gonzaga,5729861,61,78,3178,0
2025-02-08,Arkansas,Alabama,5722399,81,85,19200,0
2025-02-08,Southern Ind.,Southeast Mo. St.,5728480,74,79,3097,0
2025-02-08,Southern Utah,Abilene Christian,5732717,70,84,989,0
2025-02-08,LSU,Ole Miss,5722906,70,72,6980,0
2025-02-08,Weber St.,Idaho St.,5722848,67,72,3046,0
2025-02-08,Cal St. Fullerton,UC Davis,5732155,49,65,452,0
2025-02-08,LMU (CA),San Francisco,5731789,66,72,1687,0
2025-02-08,New Mexico St.,UTEP,5733422,63,66,8941,0
2025-02-08,UC Santa Barbara,Hawaii,5735414,76,72,2109,0
2025-02-08,Colorado St.,San Diego St.,5730901,68,63,8083,0
2025-02-08,UC Riverside,CSU Bakersfield,5728690,69,64,765,0
2025-02-08,UC Irvine,UC San Diego,5729416,67,85,5000,0
2025-02-08,Oregon St.,Saint Mary's (CA),5735338,49,63,5256,0
2025-02-08,Arizona,Texas Tech,5736438,82,73,14688,0
2025-02-08,Washington,Northwestern,5737059,76,71,8064,0
2025-02-07,Penn,Princeton,5730488,59,61,3475,0
2025-02-07,Dayton,VCU,5734108,68,73,13407,0
2025-02-07,Purdue,Southern California,5732259,90,72,14876,0
2025-02-07,UConn,St. John's (NY),5732600,62,68,10299,0
2025-02-07,Saint Joseph's,Saint Louis,5736003,76,63,2201,0
2025-02-07,Boise St.,San Jose St.,5738184,79,52,10738,0
2025-02-07,Fresno St.,Utah St.,5738640,81,89,4801,0
2025-02-06,Maine,NJIT,5730874,78,74,717,0
2025-02-06,Col. of Charleston,N.C. A&T,5731649,66,63,4600,0
2025-02-06,Bryant,UAlbany,5738116,63,68,1022,0
2025-02-06,Binghamton,UMass Lowell,5734454,66,54,2163,0
2025-02-06,Delaware,UNCW,5731611,67,77,2031,0
2025-02-06,Stony Brook,Towson,5731962,59,66,1526,0
2025-02-06,Ohio St.,Maryland,5732533,73,70,10155,0
2025-02-06,Merrimack,Niagara,5737738,64,59,1867,0
2025-02-06,Stetson,Jacksonville,5735752,65,74,433,0
2025-02-06,Siena,Saint Peter's,5732056,77,63,4852,0
2025-02-06,Saint Francis,Le Moyne,5737009,86,78,992,0
2025-02-06,South Fla.,Temple,5735443,100,91,3729,0
2025-02-06,Drexel,William & Mary,5733158,86,66,1085,0
2025-02-06,Hofstra,Northeastern,5723092,68,77,1224,0
2025-02-06,Kennesaw St.,Western Ky.,5729758,76,69,2242,0
2025-02-06,Campbell,Elon,5725829,76,58,1913,0
2025-02-06,Oakland,Youngstown St.,5731898,75,84,2237,0
2025-02-06,FGCU,Eastern Ky.,5729591,74,92,2632,0
2025-02-06,FIU,Sam Houston,5732946,85,82,1002,0
2025-02-06,Sacred Heart,Rider,5722982,89,77,723,0
2025-02-06,Fairfield,Marist,5729386,59,56,1868,0
2025-02-06,Wagner,LIU,5726012,47,60,1035,0
2025-02-06,Chicago St.,Mercyhurst,5729802,85,78,85,0
2025-02-06,Quinnipiac,Canisius,5723345,89,71,852,0
2025-02-06,New Hampshire,UMBC,5736601,79,78,241,0
2025-02-06,Monmouth,Hampton,5729888,68,63,1929,0
2025-02-06,Mount St. Mary's,Iona,5728258,67,70,1530,0
2025-02-06,Jacksonville St.,Middle Tenn.,5728714,77,63,2943,0
2025-02-06,Morehead St.,Southeast Mo. St.,5728363,51,80,2345,0
2025-02-06,Tennessee St.,Western Ill.,5730161,87,69,1870,0
2025-02-06,South Dakota St.,St. Thomas (MN),5730939,102,86,3144,0
2025-02-06,Kansas City,North Dakota St.,5723593,72,78,986,0
2025-02-06,Omaha,North Dakota,5730918,80,77,2508,0
2025-02-06,Northern Ariz.,Montana St.,5732815,69,64,789,0
2025-02-06,Utah Valley,UT Arlington,5734146,94,73,2681,0
2025-02-06,Central Conn. St.,FDU,5728632,87,66,1133,0
2025-02-06,Liberty,Louisiana Tech,5728621,77,53,3152,0
2025-02-06,North Florida,Bellarmine,5722566,95,88,1286,0
2025-02-06,Northern Colo.,Montana,5736902,78,86,2001,0
2025-02-06,Tennessee Tech,SIUE,5733342,58,75,879,0
2025-02-06,UT Martin,Lindenwood,5730357,51,52,1330,0
2025-02-06,Southern Ind.,Little Rock,5733229,56,74,1438,0
2025-02-06,Idaho,Portland St.,5730197,69,76,1676,0
2025-02-06,Eastern Wash.,Sacramento St.,5724019,83,80,1197,0
2025-02-06,San Francisco,Saint Mary's (CA),5738051,65,64,3200,0
2025-02-06,Utah Tech,Abilene Christian,5722709,72,86,1671,0
2025-02-06,Denver,South Dakota,5730726,79,86,794,0
2025-02-06,Gonzaga,LMU (CA),5729860,73,53,6000,0
2025-02-06,UNC Asheville,Gardner-Webb,5735918,78,70,1123,0
2025-02-06,CSU Bakersfield,UC Santa Barbara,5728689,75,81,1091,0
2025-02-06,Cal Poly,Hawaii,5735413,79,63,1756,0
2025-02-06,Seattle U,Tarleton St.,5732728,91,54,707,0
2025-02-06,Pacific,San Diego,5733225,71,69,1284,0
2025-02-06,CSUN,Cal St. Fullerton,5730040,82,63,775,0
2025-02-06,Portland,Santa Clara,5730000,50,97,1044,0
2025-02-06,California Baptist,Southern Utah,5730336,57,60,2865,0
2025-02-06,UC San Diego,UC Riverside,5731372,91,71,1754,0
2025-02-06,Long Beach St.,UC Davis,5725928,65,73,1904,0
2025-02-06,Oregon St.,Washington St.,5735336,82,74,4909,0
2025-02-05,Army West Point,Holy Cross,5732431,68,65,548,0
2025-02-05,VMI,ETSU,5735739,55,62,2100,0
2025-02-05,Seton Hall,Butler,5735621,54,84,8634,0
2025-02-05,IU Indy,Milwaukee,5723731,80,84,657,0
2025-02-05,App State,Southern Miss.,5723910,60,58,2236,0
2025-02-05,Michigan,Oregon,5730674,80,76,11814,0
2025-02-05,Missouri St.,UNI,5733089,61,66,2011,0
2025-02-05,East Carolina,Rice,5737964,60,73,3827,0
2025-02-05,Richmond,Duquesne,5736276,73,68,5680,0
2025-02-05,George Washington,George Mason,5732422,50,53,2407,0
2025-02-05,Charleston So.,Winthrop,5737749,65,83,850,0
2025-02-05,Indiana St.,Valparaiso,5732954,80,62,4152,0
2025-02-05,Radford,High Point,5736785,75,78,1342,0
2025-02-05,Fordham,Rhode Island,5732951,80,79,1309,0
2025-02-05,Robert Morris,Detroit Mercy,5736750,71,56,1576,0
2025-02-05,Boston College,Louisville,5732395,58,84,4204,0
2025-02-05,Syracuse,Duke,5733034,54,83,23313,0
2025-02-05,Bucknell,American,5732853,71,49,1365,0
2025-02-05,James Madison,Troy,5733992,64,61,3754,0
2025-02-05,UCF,Cincinnati,5737730,83,93,7421,0
2025-02-05,Northern Ky.,Cleveland St.,5732655,85,75,2380,0
2025-02-05,Presbyterian,USC Upstate,5737812,75,64,316,0
2025-02-05,West Ga.,Lipscomb,5736807,67,76,774,0
2025-02-05,Purdue Fort Wayne,Wright St.,5723886,87,64,1437,0
2025-02-05,Ga. Southern,Louisiana,5728583,83,82,1756,0
2025-02-05,Tennessee,Missouri,5730664,85,81,20002,0
2025-02-05,Coastal Carolina,South Alabama,5725846,59,84,1598,0
2025-02-05,Wofford,Chattanooga,5730533,70,79,1254,0
2025-02-05,The Citadel,UNC Greensboro,5723154,61,76,1431,0
2025-02-05,Boston U.,Navy,5728304,87,65,503,0
2025-02-05,Georgia St.,ULM,5729749,97,64,1441,0
2025-02-05,Old Dominion,Texas St.,5723297,75,64,5474,0
2025-02-05,Lafayette,Loyola Maryland,5723077,58,71,1556,0
2025-02-05,Furman,Western Caro.,5731033,84,75,1807,0
2025-02-05,Samford,Mercer,5732800,100,79,1284,0
2025-02-05,Central Ark.,Queens (NC),5734444,47,63,815,0
2025-02-05,TCU,West Virginia,5734824,65,60,4878,0
2025-02-05,Austin Peay,North Ala.,5738053,64,74,1759,0
2025-02-05,Evansville,Southern Ill.,5740774,59,68,4435,0
2025-02-05,Memphis,Tulsa,5740727,83,71,10237,0
2025-02-05,UIC,Illinois St.,5734094,79,81,1554,0
2025-02-05,UTSA,Tulane,5738261,60,61,1593,0
2025-02-05,Providence,Creighton,5735426,69,80,11726,0
2025-02-05,Rutgers,Illinois,5731395,82,73,8000,0
2025-02-05,Texas,Arkansas,5733900,70,78,10799,0
2025-02-05,Bradley,Belmont,5731939,77,80,4869,0
2025-02-05,Marshall,Arkansas St.,5729124,77,72,4309,0
2025-02-05,Utah,Colorado,5735767,72,59,7581,0
2025-02-05,Virginia Tech,SMU,5732598,75,81,8925,0
2025-02-05,Georgia,LSU,5732135,81,62,7193,0
2025-02-05,DePaul,Villanova,5730013,49,59,3789,0
2025-02-05,Washington,Nebraska,5737057,72,86,6384,0
2025-02-05,New Mexico,Colorado St.,5810023,87,65,13436,0
2025-02-05,California,NC State,5732558,74,62,3139,0
2025-02-05,Stanford,Wake Forest,5733960,73,79,2774,0
2025-02-03,Lehigh,Colgate,5732691,94,68,951,0
2025-02-03,Southeastern La.,Lamar University,5732850,81,79,546,0
2025-02-03,Florida A&M,Alabama St.,5740582,66,67,750,0
2025-02-03,Pittsburgh,Virginia,5732667,57,73,9075,0
2025-02-03,Norfolk St.,N.C. Central,5735101,81,78,0,0
2025-02-03,Bethune-Cookman,Alabama A&M,5729459,89,75,993,0
2025-02-03,McNeese,UIW,5740596,67,65,3216,0
2025-02-03,Delaware St.,Morgan St.,5732029,84,82,304,0
2025-02-03,New Orleans,SFA,5734220,85,88,455,0
2025-02-03,Northwestern St.,UTRGV,5732923,79,63,508,0
2025-02-03,East Texas A&M,A&M-Corpus Christi,5734625,66,78,742,0
2025-02-03,Nicholls,Houston Christian,5735241,75,67,781,0
2025-02-03,Southern U.,Jackson St.,5735366,91,89,5621,0
2025-02-03,Howard,South Carolina St.,5738030,66,89,1362,0
2025-02-03,William & Mary,Col. of Charleston,5731648,90,75,3461,0
2025-02-03,UMES,Coppin St.,5736447,57,62,761,0
2025-02-03,Grambling,Alcorn,6310021,53,60,2313,0
2025-02-03,Weber St.,Northern Ariz.,5738229,77,73,2537,0
2025-02-03,UAB,North Texas,5737921,64,61,4318,0
2025-02-03,Idaho St.,Northern Colo.,5722840,72,86,1481,0
2025-02-03,Kansas,Iowa St.,5738233,69,52,15300,0
2025-02-04,Eastern Mich.,Kent St.,5729570,49,70,1696,0
2025-02-04,Ark.-Pine Bluff,Texas Southern,5740654,69,68,1364,0
2025-02-04,St. John's (NY),Marquette,5733080,70,64,16521,0
2025-02-04,VCU,La Salle,5734106,96,66,7132,0
2025-02-04,Dayton,Davidson,5735555,69,63,13407,0
2025-02-04,Central Mich.,Miami (OH),5729309,70,76,1203,0
2025-02-04,Bowling Green,NIU,5730851,84,77,1572,0
2025-02-04,Florida St.,Notre Dame,5731119,67,60,5101,0
2025-02-04,Ohio,Western Mich.,5729230,94,69,4058,0
2025-02-04,Florida,Vanderbilt,5731359,86,75,9745,0
2025-02-04,Akron,Ball St.,5723733,81,73,1883,0
2025-02-04,Toledo,Buffalo,5733944,87,74,4052,0
2025-02-04,Charlotte,Wichita St.,5735538,58,66,2638,0
2025-02-04,Massachusetts,Saint Louis,5736002,71,73,3745,0
2025-02-04,Ole Miss,Kentucky,5733203,98,84,9128,0
2025-02-04,Murray St.,Drake,5731441,45,55,4586,0
2025-02-04,Penn St.,Minnesota,5731669,61,69,6750,0
2025-02-04,Iowa,Purdue,5730972,81,90,8445,0
2025-02-04,Houston,Oklahoma St.,5735314,72,63,7035,0
2025-02-04,Xavier,Georgetown,5733262,74,69,10212,0
2025-02-04,SIUE,Eastern Ill.,5733337,66,41,1415,0
2025-02-04,Wyoming,Utah St.,5756602,67,71,3550,0
2025-02-04,Air Force,Nevada,5728844,60,74,2134,0
2025-02-04,Clemson,Georgia Tech,5732605,86,89,7913,0
2025-02-04,Auburn,Oklahoma,5733821,98,70,9121,0
2025-02-04,Northwestern,Southern California,5732245,77,75,5440,0
2025-02-04,Loyola Chicago,St. Bonaventure,5733040,77,53,2553,0
2025-02-04,Wisconsin,Indiana,5731242,76,64,14447,0
2025-02-04,Texas Tech,Baylor,5734692,73,59,15098,0
2025-02-04,Arizona St.,Kansas St.,5734170,70,71,6868,0
2025-02-04,UCLA,Michigan St.,5733041,63,61,10074,0
2025-02-04,Fresno St.,San Jose St.,5738248,91,94,4257,0
2025-02-04,BYU,Arizona,5734997,74,85,17274,0
2025-02-04,UNLV,Boise St.,5738183,62,71,5081,0
2023-11-06,IU Indy,Spalding,3954955,70,63,4867,0
2023-11-06,Hofstra,St. Joseph's (L.I.),3954956,101,48,2147,0
2023-11-06,Troy,Fort Lauderdale,3954943,92,47,3321,0
2023-11-06,SFA,North American,3954941,96,68,3250,0
2023-11-06,Prairie View,Kansas Christian,3954957,89,66,350,0
2023-11-06,Oregon,Georgia,3954954,82,71,7595,1
2023-11-06,Oregon St.,Linfield,3954950,82,46,2483,0
2023-11-06,Penn,John Jay,3954963,102,57,636,0
2023-11-06,UMass Lowell,Rivier,3954964,96,51,719,0
2023-11-06,Purdue,Samford,3953861,98,45,14876,0
2023-11-06,Tennessee,Tennessee Tech,3954966,80,42,17047,0
2023-11-06,UConn,Northern Ariz.,3954967,95,52,10299,0
2023-11-06,Rhode Island,Central Conn. St.,3955033,81,70,4118,0
2023-11-06,ETSU,King (TN),3955040,73,56,2736,0
2023-11-06,Charleston So.,Toccoa Falls,3955044,94,59,721,0
2023-11-06,Utah Valley,Carroll (MT),3954958,81,73,1849,0
2023-11-06,Southeastern La.,Delta St.,3954961,90,71,1021,0
2023-11-06,UT Martin,Champion Chris.,3954962,104,76,1087,0
2023-11-06,South Carolina St.,Voorhees,4470656,65,57,612,0
2023-11-06,Kent St.,Malone,4469253,79,58,2954,0
2023-11-06,Penn St.,Delaware St.,3954199,79,45,7345,0
2023-11-06,Rutgers,Princeton,3728719,61,68,6103,1
2023-11-06,Ohio St.,Oakland,3969971,79,73,9244,0
2023-11-06,Col. of Charleston,Iona,3954922,71,69,5265,0
2023-11-06,Marshall,Queens (NC),3954925,89,73,4443,0
2023-11-06,Dayton,SIUE,3954929,63,47,13407,0
2023-11-06,Duquesne,Cleveland St.,3954930,79,77,2364,0
2023-11-06,Bowling Green,Chicago St.,3954931,70,41,1776,0
2023-11-06,South Carolina,USC Upstate,3954932,82,53,11216,0
2023-11-06,Mercer,Clark Atlanta,3954947,64,71,1272,0
2023-11-06,Saint Joseph's,Lafayette,3954948,81,60,1793,0
2023-11-06,NC State,The Citadel,3954971,72,59,12488,0
