Half,Clock,Play,Score,game_id,home_id,away_id
2,08:22,"2pt layup (blocked) (in the paint) missed by Dain Dainja(ILL), block Felix Okpara(OSU), rebound offensive Dain Dainja(ILL)",59 - 58,5252651,560955,561008
2,08:44,"2pt step back jump shot (blocked) (inside left) missed by Bruce Thornton(OSU), block Ty Rodgers(ILL), rebound defensive Quincy Guerrier(ILL)",57 - 54,5252651,560955,561008
2,09:03,Substitution OSU: in Jamison Battle,57 - 54,5252651,560955,561008
2,09:03,Substitution OSU: out Zed Key,57 - 54,5252651,560955,561008
2,09:03,Substitution ILL: in Marcus Domask,57 - 54,5252651,560955,561008
2,09:03,Substitution ILL: out Terrence Shannon Jr.,57 - 54,5252651,560955,561008
2,09:03,"Foul personal (outside left) Terrence Shannon Jr.(ILL), foul on Dale Bonner(OSU)",57 - 54,5252651,560955,561008
2,09:18,3pt step back jump shot (outside right) made by Terrence Shannon Jr.(ILL),57 - 54,5252651,560955,561008
2,09:32,"2pt jump shot (inside right) missed by Zed Key(OSU), rebound defensive Dain Dainja(ILL)",57 - 51,5252651,560955,561008
2,09:42,Substitution OSU: in Bruce Thornton,57 - 51,5252651,560955,561008
2,09:42,Substitution OSU: out Scotty Middleton,57 - 51,5252651,560955,561008
2,09:42,Free throw 2 of 2 made by Terrence Shannon Jr.(ILL),57 - 51,5252651,560955,561008
2,09:42,Free throw 1 of 2 made by Terrence Shannon Jr.(ILL),57 - 50,5252651,560955,561008
2,09:42,Foul personal (shooting;2 free throws) (in the paint) Roddy Gayle Jr.(OSU),57 - 49,5252651,560955,561008
2,09:49,"Foul personal (inside left) Felix Okpara(OSU), foul on Dain Dainja(ILL)",57 - 49,5252651,560955,561008
2,10:10,"Free throw 2 of 2 missed by Zed Key(OSU), rebound defensive Quincy Guerrier(ILL)",57 - 49,5252651,560955,561008
2,10:10,Substitution OSU: in Felix Okpara,57 - 49,5252651,560955,561008
2,10:10,Substitution OSU: out Evan Mahaffey,57 - 49,5252651,560955,561008
2,10:10,Free throw 1 of 2 made by Zed Key(OSU),57 - 49,5252651,560955,561008
2,10:10,Foul personal (shooting;2 free throws) (in the paint) Quincy Guerrier(ILL),56 - 49,5252651,560955,561008
2,10:29,"Free throw 1 of 1 (2nd chance) missed by Dain Dainja(ILL), rebound defensive Roddy Gayle Jr.(OSU)",56 - 49,5252651,560955,561008
2,10:29,Substitution OSU: in Evan Mahaffey,56 - 49,5252651,560955,561008
2,10:29,Substitution OSU: out Felix Okpara,56 - 49,5252651,560955,561008
2,10:29,Foul personal (shooting;1 free throw) (under the basket) Felix Okpara(OSU),56 - 49,5252651,560955,561008
2,10:29,"2pt driving layup (2nd chance) (under the basket) made by Dain Dainja(ILL), assist Terrence Shannon Jr.(ILL)",56 - 49,5252651,560955,561008
2,10:37,"Free throw 2 of 2 missed by Ty Rodgers(ILL), rebound offensive (team) ILL, rebound offensive (team) ILL",56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: in Felix Okpara,56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: in Dale Bonner,56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: in Roddy Gayle Jr.,56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: out Devin Royal,56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: out Jamison Battle,56 - 47,5252651,560955,561008
2,10:37,Substitution OSU: out Bruce Thornton,56 - 47,5252651,560955,561008
2,10:37,Substitution ILL: in Dra Gibbs-Lawhorn,56 - 47,5252651,560955,561008
2,10:37,Substitution ILL: out Niccolo Moretti,56 - 47,5252651,560955,561008
2,10:37,Free throw 1 of 2 made by Ty Rodgers(ILL),56 - 47,5252651,560955,561008
2,10:37,Foul personal (shooting;2 free throws) (in the paint) Devin Royal(OSU),56 - 46,5252651,560955,561008
2,11:00,2pt pull up jump shot (off turnover) (in the paint) made by Bruce Thornton(OSU),56 - 46,5252651,560955,561008
2,11:16,Substitution ILL: in Dain Dainja,54 - 46,5252651,560955,561008
2,11:16,Substitution ILL: in Quincy Guerrier,54 - 46,5252651,560955,561008
2,11:16,Substitution ILL: in Niccolo Moretti,54 - 46,5252651,560955,561008
2,11:16,Substitution ILL: out Coleman Hawkins,54 - 46,5252651,560955,561008
2,11:16,Substitution ILL: out Justin Harmon,54 - 46,5252651,560955,561008
2,11:16,Substitution ILL: out Marcus Domask,54 - 46,5252651,560955,561008
2,11:16,"Turnover lost ball (inside right) Marcus Domask(ILL), steal Zed Key(OSU)",54 - 46,5252651,560955,561008
2,11:26,2pt dunk (2nd chance) (under the basket) made by Zed Key(OSU),54 - 46,5252651,560955,561008
2,11:31,"2pt turnaround jump shot (inside left) missed by Devin Royal(OSU), rebound offensive Zed Key(OSU)",52 - 46,5252651,560955,561008
2,11:51,2pt driving layup (under the basket) made by Marcus Domask(ILL),52 - 46,5252651,560955,561008
2,12:01,Timeout commercial,52 - 44,5252651,560955,561008
2,12:01,Timeout short OSU,52 - 44,5252651,560955,561008
2,12:01,2pt driving layup (2nd chance) (under the basket) made by Bruce Thornton(OSU),52 - 44,5252651,560955,561008
2,12:10,"2pt layup (2nd chance) (under the basket) missed by Zed Key(OSU), rebound offensive Devin Royal(OSU)",50 - 44,5252651,560955,561008
2,12:15,"2pt pull up jump shot (inside center) missed by Devin Royal(OSU), rebound offensive Zed Key(OSU)",50 - 44,5252651,560955,561008
2,12:34,"2pt layup (under the basket) made by Ty Rodgers(ILL), assist Marcus Domask(ILL)",50 - 44,5252651,560955,561008
