ncaa_team_name,espn_team_id
Anderson (IN),2023
Arizona Christian,3188
Aurora,2044
Averett,2047
Baldwin Wallace,188
Berry,2757
Blackburn,2070
Bluffton,2074
Boyce,109700
Calvary,111176
Campbellsville,2098
Chapman,411
Christendom,111180
Clark Atlanta,2805
Colby-Sawyer,35
Concordia (MI),2985
Culver-Stockton,510
Davis & Elkins,2167
Dubuque,49
Earlham,2189
Emory & Henry,2213
Ferrum,366
Franklin,2233
Fresno Pacific,2235
Gallaudet,417
Goshen,3067
Guilford,2258
Hardin-Simmons,2810
Haskell,535
Hawaii Pacific,2269
Heidelberg,191
Holy Family,420
Immaculata,107554
Jamestown,2939
Kansas Christian,123410
Kean,2871
Lakeland,267
Lewis & Clark,2333
Lincoln (MO),2876
Lynchburg,2355
Manhattanville,2879
Marywood,2374
Medgar Evers,2380
Millsaps,2398
Mobile,2920
Monmouth (IL),2919
Montana Tech,148
Morehouse,60
Mount Aloysius,111943
Muskingum,332
Nazareth,110426
Neumann,422
North American,126750
North Central (MN),121894
Ohio Christian,3121
Ohio Wesleyan,2980
Old Westbury,3087
Ouachita Baptist,2888
Ozark Christian,127162
Paine,2488
Paul Quinn,2491
Point Park,214
Purdue Northwest,368
Rivier,111913
Rust,2892
SUNY Delhi,126848
SUNY Maritime,2951
Sarah Lawrence,108862
Shorter,2560
Siena Heights,2562
South Dakota Mines,7298
Spring Hill,2590
Springfield,81
Tabor,619
Trinity (FL),3155
Tuskegee,2657
Voorhees,2679
Warren Wilson,2684
Washington Adventist,408
Westcliff,111910
Westminster (PA),2849
Westminster (UT),224
Willamette,2930
William Jewell,2911
William Woods,2931
Aquinas,486
